,index,name,full_name,score
0,2074,1908.pdf,train/1908.pdf,0.4348468442773351
1,2630,2293.pdf,train/2293.pdf,0.38587353401403646
2,1247,3124.pdf,train/3124.pdf,0.36463754521423103
3,2582,2695.pdf,train/2695.pdf,0.35851564010516473
4,599,415.pdf,train/415.pdf,0.35483413588315504
5,1843,3271.pdf,train/3271.pdf,0.3521864368644043
6,1204,2774.pdf,train/2774.pdf,0.35002717783157455
7,2437,1979.pdf,train/1979.pdf,0.3431285075346685
8,250,3021.pdf,train/3021.pdf,0.333396640175498
9,1143,2359.pdf,train/2359.pdf,0.3256666625269015
10,2589,3400.pdf,train/3400.pdf,0.3220586328783004
11,429,2312.pdf,train/2312.pdf,0.320631775581858
12,1155,1679.pdf,train/1679.pdf,0.31351584328631155
13,1293,3520.pdf,train/3520.pdf,0.3133588082808798
14,2038,132.pdf,train/132.pdf,0.3099845282308652
15,2160,380.pdf,train/380.pdf,0.3082862799134439
16,966,2361.pdf,train/2361.pdf,0.3070265042024312
17,571,2846.pdf,train/2846.pdf,0.30653657802153206
18,1833,333.pdf,train/333.pdf,0.30601381609081096
19,664,1547.pdf,train/1547.pdf,0.30538320893085713
20,144,1581.pdf,train/1581.pdf,0.3018689710989729
21,550,3392.pdf,train/3392.pdf,0.3018345104372054
22,783,1130.pdf,train/1130.pdf,0.3000973952217128
23,199,2908.pdf,train/2908.pdf,0.2997442024183605
24,1054,501.pdf,train/501.pdf,0.2997200857378768
25,378,1579.pdf,train/1579.pdf,0.299178081445078
26,1002,667.pdf,train/667.pdf,0.29719985306429036
27,2454,3165.pdf,train/3165.pdf,0.295958592957709
28,2006,2352.pdf,train/2352.pdf,0.29561166387956506
29,1921,292.pdf,train/292.pdf,0.2953841064416112
30,2699,1361.pdf,train/1361.pdf,0.2935035427779942
31,1010,934.pdf,train/934.pdf,0.2924924022576477
32,367,748.pdf,train/748.pdf,0.29221964726733773
33,1695,108.pdf,train/108.pdf,0.2905933860333404
34,15,2512.pdf,train/2512.pdf,0.2896947008637762
35,2427,1762.pdf,train/1762.pdf,0.28921928834555
36,2692,1375.pdf,train/1375.pdf,0.28849673711714824
37,1820,3066.pdf,train/3066.pdf,0.2884681687257796
38,2575,2871.pdf,train/2871.pdf,0.28683536658309744
39,359,2514.pdf,train/2514.pdf,0.28516458545596457
40,1804,1315.pdf,train/1315.pdf,0.28415586129427767
41,2793,1002.pdf,train/1002.pdf,0.28363360304098145
42,1672,444.pdf,train/444.pdf,0.2811890639033255
43,1058,2588.pdf,train/2588.pdf,0.28083699332550544
44,2196,2644.pdf,train/2644.pdf,0.28043304915738543
45,1426,2785.pdf,train/2785.pdf,0.27788564561834905
46,225,2129.pdf,train/2129.pdf,0.2774259330179963
47,1108,10.pdf,train/10.pdf,0.27702391728960346
48,2571,1.pdf,train/1.pdf,0.2768709507322691
49,1129,3084.pdf,train/3084.pdf,0.2757070159486677
50,1442,2815.pdf,train/2815.pdf,0.27449131392676884
51,1224,2562.pdf,train/2562.pdf,0.27423289567929443
52,2049,2018.pdf,train/2018.pdf,0.27258694910905695
53,870,1092.pdf,train/1092.pdf,0.2719979042788972
54,1180,2827.pdf,train/2827.pdf,0.2717961622517644
55,1544,2753.pdf,train/2753.pdf,0.271551541451007
56,564,1546.pdf,train/1546.pdf,0.2713795880829793
57,1394,265.pdf,train/265.pdf,0.2713083552330948
58,1281,1486.pdf,train/1486.pdf,0.27065299562482337
59,1597,733.pdf,train/733.pdf,0.2703724922342041
60,1117,3537.pdf,train/3537.pdf,0.27036096107715984
61,662,2728.pdf,train/2728.pdf,0.2700811216343621
62,1036,3137.pdf,train/3137.pdf,0.2699799883962199
63,666,1209.pdf,train/1209.pdf,0.2693695683804273
64,1883,2782.pdf,train/2782.pdf,0.26916318806843514
65,403,73.pdf,train/73.pdf,0.2689757123601581
66,516,2267.pdf,train/2267.pdf,0.26874443389357827
67,673,762.pdf,train/762.pdf,0.2687257692723199
68,1101,2826.pdf,train/2826.pdf,0.2686721482984268
69,2783,2090.pdf,train/2090.pdf,0.2686565293509758
70,2721,1610.pdf,train/1610.pdf,0.26764247463407737
71,941,2162.pdf,train/2162.pdf,0.2675473707035519
72,2184,356.pdf,train/356.pdf,0.2659980469640358
73,815,1469.pdf,train/1469.pdf,0.26587636925519137
74,80,1635.pdf,train/1635.pdf,0.26501199487721455
75,1854,643.pdf,train/643.pdf,0.2641586585230476
76,1924,3105.pdf,train/3105.pdf,0.2641553293169071
77,625,372.pdf,train/372.pdf,0.26405886481856383
78,803,2389.pdf,train/2389.pdf,0.26363505998673004
79,1100,2832.pdf,train/2832.pdf,0.2635907751889112
80,742,2015.pdf,train/2015.pdf,0.2634373843212227
81,1445,2183.pdf,train/2183.pdf,0.26258834690885613
82,585,58.pdf,train/58.pdf,0.2621995434995722
83,2584,3372.pdf,train/3372.pdf,0.2621983220017255
84,739,3445.pdf,train/3445.pdf,0.26209706182615483
85,1133,1678.pdf,train/1678.pdf,0.26195817563437496
86,654,1396.pdf,train/1396.pdf,0.2611166167593884
87,907,1245.pdf,train/1245.pdf,0.260817561113758
88,2559,2118.pdf,train/2118.pdf,0.2606799334544814
89,254,1178.pdf,train/1178.pdf,0.2604870181055714
90,1825,1102.pdf,train/1102.pdf,0.2600153331714801
91,940,3268.pdf,train/3268.pdf,0.2599124249913011
92,2541,3010.pdf,train/3010.pdf,0.25983981432314
93,1200,1255.pdf,train/1255.pdf,0.2598058086845152
94,502,749.pdf,train/749.pdf,0.2596762861306451
95,1764,2967.pdf,train/2967.pdf,0.25961580071565654
96,247,1811.pdf,train/1811.pdf,0.2595119355110193
97,2565,2642.pdf,train/2642.pdf,0.2594934847636173
98,451,365.pdf,train/365.pdf,0.25927648110544005
99,835,2766.pdf,train/2766.pdf,0.2590967792037125
100,1086,1532.pdf,train/1532.pdf,0.2590453220760062
101,878,276.pdf,train/276.pdf,0.25871191700770296
102,2079,278.pdf,train/278.pdf,0.25833782611888384
103,2418,745.pdf,train/745.pdf,0.2583129592384364
104,2306,2732.pdf,train/2732.pdf,0.2582898634348672
105,2331,1429.pdf,train/1429.pdf,0.25824130492021846
106,2547,2332.pdf,train/2332.pdf,0.2582223860116995
107,2396,631.pdf,train/631.pdf,0.2582136781293395
108,2678,144.pdf,train/144.pdf,0.257964463167882
109,2305,3438.pdf,train/3438.pdf,0.25784414365670777
110,685,1989.pdf,train/1989.pdf,0.2576405936921331
111,1210,716.pdf,train/716.pdf,0.25750439957562865
112,925,882.pdf,train/882.pdf,0.25720318875025544
113,1518,862.pdf,train/862.pdf,0.25665451834227376
114,2779,757.pdf,train/757.pdf,0.2564637618924652
115,2317,80.pdf,train/80.pdf,0.2563711207697238
116,2543,2440.pdf,train/2440.pdf,0.25625440077182426
117,2591,3366.pdf,train/3366.pdf,0.25611316120499833
118,1263,2762.pdf,train/2762.pdf,0.2556988565969386
119,57,809.pdf,train/809.pdf,0.2554841090498518
120,2081,2597.pdf,train/2597.pdf,0.25522224402880245
121,134,1230.pdf,train/1230.pdf,0.2549865043870625
122,239,1187.pdf,train/1187.pdf,0.25486351555133807
123,1039,1734.pdf,train/1734.pdf,0.2548253706536609
124,1925,1074.pdf,train/1074.pdf,0.25480042694969424
125,2228,3360.pdf,train/3360.pdf,0.25441244670691404
126,1166,39.pdf,train/39.pdf,0.2542840504545999
